"","Views","Title","Department","Details","Amount","Date","Place","ID"
"130","255 views","
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","November 01, 2015","Adilabad
                      , Telangana","81492"
"131","268 views","
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    ","Income Tax","New PAN Card","Paid INR 2,000
                        ","November 01, 2015","Abohar
                      , Punjab","81488"
"132","246 views","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 100
                        ","November 01, 2015","Abohar
                      , Punjab","81487"
"133","226 views","
                      I Paid Rs. 345 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 345
                        ","November 01, 2015","Abhayapuri
                      , Assam","81486"
"134","206 views","
                      I Paid Rs. 33 to Municipal Services in Achhnera.
                    ","Municipal Services","Birth Certificate","Paid INR 33
                        ","November 01, 2015","Achhnera
                      , Uttar Pradesh","81483"
"135","245 views","
                      I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5,24,001
                        ","November 01, 2015","Abohar
                      , Punjab","81479"
"136","260 views","
                      I Paid Rs. 200 to Police in New Delhi.
                    ","Police","Traffic Violations","Paid INR 200
                        ","November 01, 2015","New Delhi
                      , Delhi","81470"
"137","212 views","
                      I Paid Rs. 1000 to Municipal Services in Mansa.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","November 01, 2015","Mansa
                      , Punjab","81467"
"138","215 views","
                      I Paid Rs. 108 to Income Tax in Rae Bareli.
                    ","Income Tax","New PAN Card","Paid INR 108
                        ","November 01, 2015","Rae Bareli
                      , Uttar Pradesh","81456"
"139","179 views","
                      I Paid Rs. 100 to Municipal Services in Dehradun.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 01, 2015","Dehradun
                      , Uttarakhand","81454"
"140","172 views","
                      I Paid Rs. 105 to Income Tax in Bhopal.
                    ","Income Tax","New PAN Card","Paid INR 105
                        ","November 01, 2015","Bhopal
                      , Madhya Pradesh","81442"
"141","189 views","
                      I Paid Rs. 100 to Others in Bahraich.
                    ","Others","Others","Paid INR 100
                        ","November 01, 2015","Bahraich
                      , Uttar Pradesh","81433"
